# RA = 11 04 27.31 (166.1138)
# Dec = +38 12 31.79 (38.20883)
# Redshift = 0.0
# nH = 1.92E20 cm^-2 
# BeppoSAX Spectra (Giommi et al. 2002) (id = 40)
#   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
1.9730E27     0.0000E00    1.4053E-11   5.0462E-12    54466.0    54647.0
2.4390E27     0.0000E00    1.4477E-11   5.6676E-12    54466.0    54647.0
6.6490E25     0.0000E00    2.0622E-10   3.9924E-11    54466.0    54647.0
8.2210E25     0.0000E00    2.3874E-10   2.0484E-11    54466.0    54647.0
1.0160E26     0.0000E00    2.4930E-10   1.7161E-11    54466.0    54647.0
1.2550E26     0.0000E00    2.4931E-10   1.5955E-11    54466.0    54647.0
1.5520E26     0.0000E00    2.3172E-10   1.5525E-11    54466.0    54647.0
1.9170E26     0.0000E00    2.1672E-10   1.5365E-11    54466.0    54647.0
2.3700E26     0.0000E00    2.0034E-10   1.5757E-11    54466.0    54647.0
2.9310E26     0.0000E00    1.4764E-10   1.4396E-11    54466.0    54647.0
3.6220E26     0.0000E00    1.1900E-10   1.3853E-11    54466.0    54647.0
4.4760E26     0.0000E00    9.1179E-11   1.3180E-11    54466.0    54647.0
5.5320E26     0.0000E00    9.4273E-11   1.4527E-11    54466.0    54647.0
6.8380E26     0.0000E00    7.8906E-11   1.4582E-11    54466.0    54647.0
8.4530E26     0.0000E00    6.5540E-11   1.4543E-11    54466.0    54647.0
1.0450E27     0.0000E00    3.4701E-11   1.2059E-11    54466.0    54647.0
1.2920E27     0.0000E00    2.3912E-11   1.0841E-11    54466.0    54647.0
1.6950E26     0.0000E00    3.0477E-10   3.3051E-11    54466.0    54647.0
2.2410E26     0.0000E00    2.8982E-10   3.3305E-11    54466.0    54647.0
2.9620E26     0.0000E00    2.0114E-10   2.1186E-11    54466.0    54647.0
3.9150E26     0.0000E00    2.2153E-10   2.3509E-11    54466.0    54647.0
5.1740E26     0.0000E00    1.8064E-10   2.2973E-11    54466.0    54647.0
6.8380E26     0.0000E00    2.0784E-10   2.7011E-11    54466.0    54647.0
9.0380E26     0.0000E00    1.6015E-10   2.5857E-11    54466.0    54647.0
1.1940E27     0.0000E00    8.6487E-11   2.3279E-11    54466.0    54647.0
1.5790E27     0.0000E00    3.1355E-11   1.5510E-11    54466.0    54647.0
2.2410E26     0.0000E00    3.4323E-10   3.5494E-11    54466.0    54647.0
2.9620E26     0.0000E00    2.6976E-10   2.3314E-11    54466.0    54647.0
3.9150E26     0.0000E00    2.4408E-10   2.4181E-11    54466.0    54647.0
5.1740E26     0.0000E00    2.0757E-10   2.4206E-11    54466.0    54647.0
6.8380E26     0.0000E00    1.7068E-10   2.4358E-11    54466.0    54647.0
9.0380E26     0.0000E00    1.5310E-10   2.5924E-11    54466.0    54647.0
1.1940E27     0.0000E00    1.0733E-10   2.4366E-11    54466.0    54647.0
1.5790E27     0.0000E00    7.7859E-11   2.3617E-11    54466.0    54647.0
2.0860E27     0.0000E00    6.1748E-11   2.5888E-11    54466.0    54647.0
1.5520E26     0.0000E00    4.3973E-10   4.6833E-11    54466.0    54647.0
1.9170E26     0.0000E00    4.3223E-10   4.4835E-11    54466.0    54647.0
2.3700E26     0.0000E00    3.7699E-10   3.1128E-11    54466.0    54647.0
2.9310E26     0.0000E00    4.0198E-10   3.2878E-11    54466.0    54647.0
3.6220E26     0.0000E00    3.5716E-10   3.2778E-11    54466.0    54647.0
4.4760E26     0.0000E00    2.6936E-10   3.0373E-11    54466.0    54647.0
5.5320E26     0.0000E00    2.9540E-10   3.3868E-11    54466.0    54647.0
6.8380E26     0.0000E00    2.3321E-10   3.2380E-11    54466.0    54647.0
8.4530E26     0.0000E00    1.9460E-10   3.1977E-11    54466.0    54647.0
1.0450E27     0.0000E00    1.8340E-10   3.4820E-11    54466.0    54647.0
1.2920E27     0.0000E00    1.1193E-10   2.9102E-11    54466.0    54647.0
